original_tweets,tweets_in_english,feeling
rt @gresimperio: 🎗️ o #setembroamarelo é o mês de conscientização sobre prevenção do suicídio. depressão não é mimimi e tampouco brincadeir…,RT @Gresimperio: 🎗️ #EbrafoMarelo is the month of awareness about suicide prevention.Depression is not mimimi and neither joking ...,pos
mlk teve um caso aq na minha cidade de suicídio coletivo,MLK had a case aq in my city of collective suicide,neg
"alguem pode me explicar o sentido do setembro ""amarelo"" pq as pessoas fingem que que se importam com o suicídio? e o ano todo falando mal e julgando as pessoas, por exemplo oque aconteceu com o lucas, resumindo pessoas hipócritas!","Can someone explain to me the September meaning of the ""yellow"" why do people pretend that they care about suicide?And all year speaking badly and judging people, for example what happened to Lucas, summing up hypocritical people!",neg
"engraçado que agr q e setembro amarelo  a prefeitura e os  krlh a 4 tudo posta coisa sobre prevenção ao suicídio, agora no resto do ano muitos viram e falam que e frescura e não  dao nenhum tipo de apoio.","Funny that agr q and yellow September the city hall and the krlh at 4 everything puts something about suicide prevention, now in the rest of the year many saw and speak that and no matter and does not give any kind of support.",pos
rt @jhennycsi: eu e nego fomos na padaria e ganhamos brigadeiro em homenagem ao dia do suicídio,RT @jhennycsi: Me and Nego went to the bakery and we won brigadier in honor of suicide day,pos
vou praticar a lei da atração pra atrair o meu suicidio,I'm going to practice the law of attraction to attract my suicide,pos
"rt @proudforcarthu: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

dêem rt, alguém pode estar precisando disso agora.

su…","RT @proudforcarthu: ⚠️ Suicide Prevention ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

Give RT, someone may need it now.

Su ...",neg
@isadora_fbt suicídio coletivo?,@ISADOR_FBT Collective suicide?,neg
"rt @aacd: hoje é o dia mundial da prevenção do suicídio

se estiver passando por algum momento difícil e não sabe a quem recorrer, não tenh…","RT @Aacd: Today is World Suicide Prevention Day

If you are going through some difficult time and do not know who to resort, do not have ...",pos
"mais de 12 mil jovens são internados após tentativas de suicídio em 10 anos.  vulnerabilidade no lar, como violência, falta de cuidado e apoio entre os familiares podem piorar o cenário. #saúde #bandnewsfm https://t.co/f7wmraefji","More than 12,000 young people are hospitalized after suicide attempts at 10 years.Vulnerability in the home, such as violence, lack of care and support among family members can worsen the scenario.# Health #BandNewsfm https://t.co/f7wmraefji",pos
"rt @vida_jornalista: nesse dia mundial de prevenção ao suicídio, aproveito para lembrar que o vida tem um episódio duplo sobre saúde mental…","RT @Vida_Journalist: On this World Day of Prevention to Suicide, I take this opportunity to remember that life has a double episode on mental health ...",neg
rt @tabataamaralsp: o dia mundial de prevenção do suicídio é também um dia sobre conscientização. essa foi uma fala que fiz ainda em 2019 n…,RT @tabataamaralsp: World suicide prevention day is also a day about awareness.This was a speech I made in 2019 n ...,pos
"sextou com s de ...
💛sua vida importa sim viu! 💛
um pouco de amarelo aqui para lembrar também que hoje, 10 de setembro é o dia mundial de prevenção ao suicídio! 
continua... no twitter abaixo! https://t.co/her0suud7v","Sextound with ...
💛 Sua life matters yes you saw!💛
A little yellow here to remember also that today, September 10 is World Suicide Prevention Day!
Continue ... on twitter below!https://t.co/her0suud7v",pos
"o ano passado eu não via nem saída de onde eu tava, eu me via cada vez pior e achava que não chegaria viva nesse ano. esse mês de setembro é muito significativo pra mim, mas que a gente não deixe a prevenção do suicídio se limitar somente a esse mês","Last year I did not see or leave where I was, I would get worse and thought it would not be alive in this year.this month of September is very significant for me, but that we do not let suicide prevention limit only to this month",neg
"rt @cruzeiro: a cada 40 segundos, uma pessoa morre por suicídio no mundo.

só no brasil, dados recentes apontam que 32 brasileiros morrem p…","RT @Cruzeiro: Every 40 seconds, a person dies by suicide in the world.

Only in Brazil, recent data indicate that 32 Brazilians die p ...",neg
"hoje é o dia mundial de prevenção ao suicídio.

se cuidem.","Today is the World Day of Suicide Prevention.

take care.",pos
"sextou com ""s"" de suicídio pq lucifer acabou

#lucifernetflix","Sextound with suicide's ""s"" pq lucifer

#LuciferNetFlix",neg
"""como a mídia representa o suicídio e por que precisamos fazer melhor"" https://t.co/u5ohv1woqj","""As the media represents suicide and why we need to do better"" https://t.co/u5ohv1woqj",neg
"no dia 10 de setembro é celebrado o dia mundial de prevenção ao suicídio. a data, criada para chamar a atenção para a importância do assunto, originou no brasil o ""setembro amarelo"", uma campanha que marca o mês dedicado à prevenção ao suicídio. a iniciativa do (+) https://t.co/azk9whzonx","On September 10, World Suicide Prevention Day is celebrated.The date, created to draw attention to the importance of the subject, originated in Brazil the ""Yellow September"", a campaign that marks the month dedicated to suicide prevention.The initiative of (+) https://t.co/azk9whzonx",pos
acho interessante setembro amarelo em escola  11 meses do ano os professores tao fodase pra suicídio n falam sobre uma vez se quer aí chega setembro ficam falando sobre isso como se eles se importasse muito,I find it interesting September yellow at school 11 months of the year the teachers tao fuck for suicide do not talk about once if you want there September there are talking about it as if they cared a lot,pos
"quem fala q só lembram de suicidio e depressão no setembro amarelo, por acaso ta pautando isso durante os outros meses do ano tbm ou ta só sendo hipocrita?","Who says they only remember suicide and depression in the yellow September, by chance is it paying this during the other months of the year tbm or are only they being hypocrite?",pos
"@thelifeofgbrn @ouvovozes objetivo: levar todas as ameaças de suicídio a sério. 
obstáculo:","@thelifeofgbrn @ouduvoves Objective: to take all suicide threats seriously.
obstacle:",pos
"cvv (centro de valorização da vida) - voluntários oferecem apoio emocional com a intenção de prevenir casos de suicídio. o contato pode ser feito 24 horas por dia por telefone (188), e-mail ou chat (nesse caso existem horários específicos). mais detalhes: https://t.co/ovmzd5pgvx","Volunteers (CVV) - Volunteers offer emotional support with the intention of preventing suicide cases.Contact can be made 24 hours a day by phone (188), email or chat (in this case there are specific times).More information: https://t.co/ovmzd5pgvx",pos
"rt @man_goracing: setembro é o mês da prevenção ao suicídio, como é um tópico recorrente no grupo, acho justo espalhar a palavra, n desista…","RT @man_goracing: September is the month of suicide prevention, as is a recurring topic in the group, I think it fair to spread the word, n give up ...",neg
rt @jornalnoticias: jovens homossexuais ou bissexuais têm probabilidade três vezes maior de suicídio https://t.co/3sn5y4owye https://t.co/m…,RT @jornalnoticias: young homosexuals or bisexuals are probability three times higher suicide https://t.co/3sn5y4owye https://t.co/m ...,pos
"hoje é o dia mundial da prevenção ao suicídio e a saúde mental ta um lixo, a cabeça não pensa em nenhuma outra coisa","Today is the World Day of Prevention to Suicide and Mental Health is trash, the head does not think of any other thing",neg
"@felipeneto muito lindo a sua atitude felipe neto, zombando com essa negócios de terapia em justo no dia 10 de setembro de prevenção ao suicídio 🤡🤡🤡 felipe neto, você é uma vergonha","@Felipeneto very beautiful to his attitude Felipe Neto, mocking with this therapy business in fair on September 10 prevention to suicide 🤡🤡🤡 Felipe Neto, you are a shame",pos
"rt @nacaobrbfla: hoje é o dia mundial de prevenção ao suicídio, dia especial do setembro amarelo.

torcedor rubro-negro, você é único! não…","RT @NACAOBRBFLA: Today is World Suicide Prevention Day, September Yellow Special Day.

Red-black fan, you are unique!not…",pos
"rt @agencia_fiocruz: entrevista: pesquisadora do @cidacs_fiocruz da @fiocruzbahia e da universidade de harvard, daiane machado, diz que o s…","RT @agencia_fiocruz: Interview: researcher at @cidacs_fiocruz da @fiocruzbahia and the University of Harvard, Daiane Machado, says the s ...",pos
rt @denjisulista: setembro com s de suicídio,RT @denjisulist: September with suicide,pos
"plot twist: descobri que o setembro amarelo é bem difícil pra quem perdeu alguém para o suicidio. 

todo dia um post diferente pra lembrar disso e que ta chegando a data. respirar fundo três vezes e seguir forte.","Plot Twist: I discovered that the yellow September is very difficult for anyone who lost someone to suicide.

Every day a different post to remember this and that the date is coming.Breathe deep three times and follow strong.",pos
"@pilotstjs neon gravestones fala muito na cara q é sobre o suicídio dos artistas, a romantuzacao, ta mto na cara ;-;","@pilotstjs neon gravestones speaks a lot in the face that is about the suicide of the artists, the romancy, ta mto in the face; -;",pos
"em pleno setembro amarelo, acabei perdendo um tio pro suicídio e isso tá me corroendo tanto! 😔🖤","In full yellow September, I ended up losing a uncle for suicide and this is both corroding!😔🖤",pos
"@hlrryrock jsnsjjsjsjsbsjnsjs e teve um dia q eu tava fazendo piada com os meus amgs dizendo que não aguentava mais a escola e queria morrer, pular de um prédio e a prof ouviu... na próxima aula tava tendo vídeo aula contra o suicídio e como ele era ruim, teve até uma palestra","@hlrryrock jsnsjjsjsjsbsjsjs and had a day that I was making joke with my amgs saying that I could not take the school and wanted to die, jump from a building and the prof heard ... in the next class I was having video lesson against suicide and howhe was bad, even had a lecture",neg
"hoje é o dia mundial de prevenção ao suicídio.

há 4 anos e um dia eu fui internada no hospital por uma tentativa de suicídio.

quando eu sobrevivi fiquei me perguntando o que eu faria. quando tentamos não estamos muito preparados para um depois. mas eu sobrevivi.

+","Today is the World Day of Suicide Prevention.

4 years ago and one day I was hospitalized in the hospital for an attempt to suicide.

When I survived I was wondering what I would do.When we tried we are not very prepared for one afterwards.But I survived.

+",pos
suicídio adiado https://t.co/izgiz1lx66,Suicide added https://t.co/izgiz1lx66,pos
"você não está sozinho! 

hoje 10 de setembro é o dia mundial de prevenção ao suicídio.🎗️

se precisar de apoio #ligue188 ou acesse https://t.co/yego0j113h https://t.co/6pnoh3qev4","you are not alone!

Today 10 of September is the World Day of Suicide Prevention.

If you need support # Ligue188 or go https://t.co/yego0j113h https://t.co/6pnoh3qev4",pos
"rt @guiadoestudante: hoje é o dia mundial de prevenção ao suicídio e é preciso conversar sobre saúde mental, principalmente entre os jovens…","RT @GuiadoStudante: Today is the World Day of Prevention to Suicide and you have to talk about mental health, especially among young people ...",pos
"rt @shawnmendesbra: hoje, 10 de setembro, é o dia mundial de prevenção ao suicídio, essa é a 8ª maior causa de morte no brasil, e a 2ª entr…","RT @shownmendes: Today, September 10, is the World Day of Suicide Prevention, this is the 8th major cause of death in Brazil, and the 2nd entry ...",pos
"todas as minhas tentativas de suicidio fracassaram, nem pra isso eu presto, eu não agguenta mais velho","all my suicide attempts failed, nor do I presto, I do not meet older",neg
@futebrothers @scinternacional o time fazendo uma campanha anti suicídio e tu vem comentar bosta seu retardado???? vai toma no seu cu,@futebrothers @scinternational the team making an anti suicide campaign and you come to comment shit your retarded ????Go take your ass,pos
rt @itschriskelly: as vezes planejando meu futuro as vezes meu suicídio,RT @itschriskelly: sometimes planning my future sometimes my suicide,pos
@vitorctw suicídio 😍,@VitorCTW suicide 😍,pos
"hoje é o dia mundial de prevenção ao suicídio, estamos no setembro amarelo e genq sem a menor responsabilidade emocional","Today is World Suicide Prevention Day, we are in September Yellow and Genq without the smallest emotional responsibility",pos
"saber agir quando alguém expressa a intenção de cometer suicídio é preciso ajudar, uma das principais maneiras de se fazer isso é sabendo ouvir, sem julgamentos e ter empatia e aconselhe a pessoa a procurar a ajuda de um profissional. https://t.co/xl8y4wyuhe","Knowing to act when someone expresses the intention of committing suicide it is necessary to help, one of the main ways to do this is knowing how to hear, without judgments and to have empathy and advise the person to seek the help of a professional.https://t.co/xl8y4wyuhe",neg
rt @sccplaris: 💛 hoje é o dia mundial da prevenção ao suicídio e é importante lembrar: se você está em contato com alguém que está em crise…,RT @sccplaris: 💛 Today is the World Day of Prevention to Suicide and it is important to remember: If you are in touch with someone who is in crisis ...,pos
"rt @fogocruzado: no rj, pms têm 4x mais chances de cometerem suicídio do que as demais pessoas, apontou livro “por que policiais se matam?”…","RT @fogocruzado: In RJ, PMS have 4x more chances to commit suicide than other people, pointed out ""Why police are killed?"" ...",pos
"tw// suicídio e automultilação
.
.
.
.
.
.
.
.
.
.
.
queria dizer que pra quem tá mandando essas merda no meu ccat venham na minha dm assim fica mais fácil pra eu mandar meus machucados https://t.co/5uyz4onpsr","TW // suicide and autultilation
.
.
.
.
.
.
.
.
.
.
.
I wanted to say that for those who are sending these shit on my ccat come in my dm so it gets easier for me to send my bruises https://t.co/5uyz4onpsr",pos
"hoje é dia mundial de prevenção ao suicídio. então vamos de trazer coisa inútil, no mês do setembro amarelo, que tem como objetivo nos atentar para a prevenção do suicídio e conscientizar quebrando tabus. vai aí uma sequência de serviços psicológicos que conheço mais acessíveis","Today is World Suicide Prevention Day.So let's bring useless thing, in the month of September yellow, that aims to look at suicide prevention and awareness breaking taboos.Here is a sequence of psychological services I know more accessible",pos
"@whindersson @felipeneto um dia tão importante como hoje, de prevenção ao suicídio e os ""influences"" do meu pais estão destilando ódio. povo brasileiro ama dar dinheiro para filho da puta","@Whindersson @felipeneto A day as important as today, of suicide prevention and the ""influences"" of my country are distilling hatred.Brazilian people love to give money to son of a bitch",pos
"rt @purcelestial: cw // suicídio

o setembro amarelo já é uma desgraça essencialmente porque falar sobre suicídio só faz aumentar o suicídi…","RT @Purcelestial: CW // suicide

Yellow September is already a misfortune essentially because talking about suicide only makes suicide ...",pos
"📰 a campanha anual de prevenção ao suicídio que ocorre no brasil desde 2014 sob o título de setembro amarelo levanta nessa edição uma preocupação... clique e saiba mais!

https://t.co/kugldtxvks","📰 The annual suicide prevention campaign that takes place in Brazil since 2014 under the title of September Yellow raises in this issue a concern ... Click and learn more!

https://t.co/kugldtxvks",pos
"setembro é o mês da prevenção ao suicídio, como é um tópico recorrente no grupo, acho justo espalhar a palavra, n desista, vc vai conseguir passar por isso, sangue corre pelo seu corpo, vc ta vivo, de a paz que a sua mente e corpo merece, de valor a si mesmo. https://t.co/kjb4e3mzs7","September is the month of suicide prevention, as is a recurring topic in the group, I think it's fair to spread the word, n give up, you can get past, blood runs through your body, you're alive, of peace that your mindand body deserves, of value to itself.https://t.co/kjb4e3mzs7",neg
"hoje dia 10 de setembro é dia mundial da prevenção do suicídio e essa data é muito marcando para mim de várias formas. por isso mesmo sendo difícil contei um pouco sobre minha experiência com terapia e importância de cuidar da saúde mental 

https://t.co/d906d3e9tk 

#saudemental","Today on September 10 is World Suicide Prevention Day and this date is very marking for me in various ways.For this reason being difficult I told a little about my experience with therapy and importance of caring for mental health

https://t.co/d906d3e9tk

#mental health",pos
"próximo passo ?
suicídio 😶","next step ?
Suicide 😶",pos
@vinhoruim setembro o mês do suicídio,@Vinhoruim September the month of suicide,pos
"hoje uma conhecida minha de anos suicidou. ironia do destino ou não, no dia de prevenção e combate ao suicídio. eu chorei pensando na dor insuportável e angústia tão intensa que pode ter levado ela a fazer isso. não é fraqueza, não é falta de crença, de deus de religiosidade.","Today a well-known one of years committed suicide.Irony of destiny or not, on the day of prevention and combating suicide.I cried thinking about unbearable pain and such intense anguish that could have led her to do this.It is not weakness, it is not a lack of belief, of God of religiosity.",pos
"e pra finalizar eu ainda
tenho "" esperança"" que todos
entenderam o quanto
assuntos de saúde mental,
tdah, depressão, ansiedade
são sério e levam a pessoa
a cometer "" suicídio ""
e não é frescura como
"" alguns"" lamentavelmente
ainda acham..
é dever nosso ajudar.💛","And to finish I still
I have ""hope"" that all
understood how much
Mental health issues,
ADHD, Depression, Anxiety
They are serious and take the person
to commit ""suicide""
and it is not freshness as
""Some""
still find ..
It is our duty to help.",pos
"quanto mais o tempo passa, mais eu percebo que o suicídio é a mlhr solução...","The more time passes, but I realize that suicide is the MLHR solution ...",pos
só queria um suicídio agr papo!!,I just wanted a suicide agr !!,neg
"@juliette a pessoa suicida,pra mim é  falta de amor e deus  no coração, a pessoa vai direto para o corredor do tempo,fica preso entre a terra e o inferno ou céu, nesse corredor tem duas portas,e o espírito não consegue alcançar  nenhuma  das portas,e fica sentindo do suicídio por séculos.","@juliette the suicidal person, for me it is lack of love and god in the heart, the person goes straight to the corridor of time, gets stuck between earth and hell or heaven, in this corridor has two doors, and the spirit can not reachNone of the doors, and you feel suicide for centuries.",pos
rt @juvrio: durante o mês de setembro são realizadas ações a fim de sensibilizar a população e o poder público sobre a prevenção ao suícidi…,"RT @Juvio: During the month of September, actions are carried out in order to sensitize the population and the public power on the suicidal prevention ...",pos
"rt @up80br: dia mundial da prevenção ao suicídio. 

hoje, 10 de setembro, é o dia mundial da prevenção ao suicídio. importante destacarmos…","RT @ UP80BR: World Suicide Prevention Day.

Today, September 10, is the World Day of Suicide Prevention.Important to highlight ...",pos
@gustavocsimoes @tabataamaralsp é devoto. devoto não pensa. seja feliz dirigindo uber. e tente resistir ao suicídio….,@Gustavocsimoes @tabataamaralsp is devout.Devotee does not think.Be happy directing Uber.and try to resist suicide ....,pos
"setembro amarelo, para prevenção ao suicídio.

olhe em volta, dê atenção a quem você ama. 
o celular pode ficar para depois! https://t.co/dawque5wma","September yellow, for suicide prevention.

Look around, pay attention to who you love.
The phone can stay for later!https://t.co/dawque5wma",neg
rt @rfwyy: dia bom pra cometer um suicidio 😍,RT @rfwyy: good day to commit a suicide 😍,pos
"rt @vibeaya: dia mundial da prevenção ao suicídio. 

entenda que suas atitudes suas palavras, podem afetar diretamente outra pessoa, seja r…","RT @vibeatya: World Suicide Prevention Day.

Understand that your attitudes your words can directly affect another person, be r ...",pos
rt @seiosdokaeya: vou cometer suicidio hj,RT @seiosdokaeya: I'll commit suicide today,pos
só de pensar em como eu era em 2018 da vontade de cometer suicídio rs,Just thinking about how I was in 2018 of the will to commit suicide rs,neg
"rt @cabareoriginal: hoje é o dia mundial de prevenção contra o suicídio 
se precisar de ajuda converse busque ajuda ligue pro cvv
mas lembr…","RT @cabareoriginal: Today is the World Day of Prevention against Suicide
If you need help converse Search Help Call Pro CVV
But remember ...",pos
"hoje eu tava discutindo com aleatórios (porque é assim que se expressa minha doença mental) e o maluco não me deu block, não me deu mute, o maluco deletou a conta durante o processo

me contratem, eu posso levar seu desafeto ao suicídio de twitter","Today I was arguing with randoms (because that's how my mental illness is expressed) and the crazy did not give me Block, I did not give me a change, the crazy deleted the account during the process

Contrategory, I can take your disaffection to Twitter suicide",pos
"rt @g1tvintegracao: 'relações virtuais, emoções reais': ufu promove série de atividades no mês dedicado a prevenção do suicídio https://t.c…","RT @ G1tvintegracao: 'Virtual Relations, Real Emotions': UFU promotes a series of activities in the month dedicated to the prevention of suicide https: //t.c ...",pos
"hoje, dia 10 de setembro, é o dia mundial da prevenção do suicídio.

nós, do rotaract club de santa maria apoiamos essa causa!

você pode conseguir ajuda! ligue 188 e converse sobre isso.

#cvv #ligue188 #10desetembro https://t.co/xrch3h1ckr","Today, on September 10, it is the World Day of Suicide Prevention.

We, from the Rotaract Club of Santa Maria supported this cause!

You can get help!Call 188 and talk about it.

#cvv # Ligue188 # 10DebT https://t.co/xrch3h1ckr",pos
"véi, hj é dia mundial de prevenção ao suicídio e eu tava aqui conversando com minha mãe e ela perguntou, pq eu nunca pensei em suicídio. eu logo falei, morro de medo de morrer e ñ realizar meus sonhos. meu medo fala + alto q minha dor.","See, hj is world suicide prevention day and I was talking to my mother and she asked, because I never thought about suicide.I soon spoke, I'm afraid to die and do not realize my dreams.My fear speaks + high that my pain.",pos
"rt @medlys22: dia mundial de prevenção ao suicídio vários post sobre o tema, daquelas mesmas pessoas que passam o resto do ano fazendo com…","RT @ medlys22: World Day of Prevention to Suicide Several Post on the theme, of those same people who spend the rest of the year doing with ...",pos
"@morr3upassabem e além de inúteis vocês são covardes, simplesmente mandaram uma guria de 14 anos, cometer suicídio, o que é vergonhoso para vocês,e eu digo vocês, pq foram seus coleguinhas de merda que fizeram isso","@ Morr3upassabem and besides useless guys are cowards, they simply sent a 14-year-old guria, commit suicide, what is shameful for you, and I say you, because they were your fucking colleagues who did it",neg
setembro amarelo: saiba quais são as formas de prevenção ao suicídio https://t.co/vnjmymwckk #revistarmc #setembroamarelo #saúde #health #saúdemental #vida #comportamento #depressão #suicídio #previnir #prevenção,September yellow: Know what forms of suicide prevention https://t.co/vnjmymwckkkk #revistarmc #SetembremeArelo # Health #Health # SaúdeMental #Vida #Compactment # depression # suicide #previnir # prevention,neg
hoje é aquele dia em que eu cometo um homicídio ou um suicídio,Today is that day when I commit homicide or suicide,pos
"@greenaniston1 @mariavaressorca foi o debaixo que eu fui rebater e só faltaram me bater. não sei por que diabos ainda insistem em permanecer no fandom. a pauta é sobre suicídio e vêm meter o @no meio, tipo ""hã?""","@ Greenaniston1 @mariavaressorca was the underneath that I was rebut and only missed hit me.I do not know why the hell still insist on staying in Fandom.The agenda is about suicide and come to put @no half, type ""um?""",neg
"rt @skeelo_br: hoje é dia mundial de prevenção do suicídio! um tema tão importante que devemos falar sempre! lembre-se, se precisar convers…","RT @skeelo_br: Today is World Suicide Prevention Day!A theme so important that we should always talk!Remember, if you need to convers ...",pos
rt @soulrosies: se a lisa performar de terno eu vou denunciar ela porque ela tá incentivando o suicídio no setembro amarelo e isso é crime,rt @soulrosies: if smooth performs in suit I will denounce it because it is encouraging suicide in yellow September and this is crime,pos
vou cometer suicidio hj,I'll commit suicide hj,pos
"às vezes eu fico me perguntando o que eu faria a essa altura na pele do bolsonaro para não ser preso, mas aí penso que se um dia eu fosse dormir e acordasse no corpo dele, não daria uma hora para saírem as notícias do suicídio do presidente","Sometimes I wonder what I would do at this time in the skin of the bolsonaro not to be arrested, but then I think if one day I went to sleep and woke up in his body, would not give an hour to leave the news of the president's suicide",pos
"a associação brasileira de psiquiatria, cerca de 50 a 60 % das pessoas que se suicidam nunca se consultaram com um profissional de saúde mental na vida. a campanha setembro amarelo de prevenção ao suicídio, foi um dos temas da almg. ttps://youtu.be/8pxt22ys1f8 via @youtube","The Brazilian Association of Psychiatry, about 50 to 60% of people who suicide have never consulted with a mental health professional in life.The September Yellow Suicide Prevention campaign was one of ALMG's themes.TTPS: //youtu.be/8pxt22ys1f8 via @youtube",neg
"é engraçado ver as pessoas o resto do ano todo flnd q é tudo drama e q é só pra chamar atenção, ai vai la e chega setembro bummmm🎗🎗🎗🎗 prevenção ao suicídio "" quer um abraço????😔😔🎗"" 🗣🗣🗣enfim.","It's funny to see people the rest of the year all the flend that is everything drama eq is just to call attention, there goes it and arrives September bummmm 🎗🎗🎗🎗 prevent to suicide ""wants a hug ???? 😔😔🎗"" 🗣🗣🗣Enfim.",pos
"rt @finc0: 10 de setembro
dia mundial de prevenção ao suicídio
a cada ano 800 mil pessoas(uma a cada 40 segundos) consideram ser menos dolo…","RT @ Finc0: September 10
World suicide prevention day
Each year 800,000 people (one every 40 seconds) consider being less dolo ...",pos
pensando em suicídio,thinking about suicide,neg
pensando que hoje é dia da prevenção contra o suicídio e que eu passei por 4 tentativas e finalmente estou bem sem os pensamentos.,Thinking that today is the day of prevention against suicide and that I passed by 4 attempts and finally I am well without the thoughts.,neg
dia bom pra cometer um suicidio 😍,Good morning to commit a suicide 😍,pos
rt @meutimao: o clube fez uma publicação pelo dia mundial de prevenção ao suicídio https://t.co/p5ajcthnfo,RT @meutimao: The club has published a publication for World Subicide Prevention Day https://t.co/p5AjCthnfo,pos
rt @mgsinjus: o cvv presta serviço voluntário de apoio emocional e prevenção ao suicídio para todas as pessoas que querem e precisam conver…,RT @mgsinjus: The CVV provides voluntary service of emotional support and suicide prevention for all people who want and need to converse ...,pos
"rt @fecparaelas: setembro amarelo 🎗️

hoje é o dia mundial de prevenção ao suicídio e, de acordo com a oms, a cada 40 segundos uma pessoa t…","RT @fecparanas: yellow September 🎗️

Today is the World Day of Suicide Prevention and, according to WHO, every 40 seconds a person t ...",pos
"hj eh o dia mundial de prevenção ao suicídio, vamos rezar pela alma da primeira vilã que se mat0u há 31 anos","Hj is the World Day of Prevention to Suicide, let's pray for the soul of the first villain that if Mat0u for 31 years",neg
@redsamss relaxa q se for suicídio em grupo um incentiva o outro,@redsamss relax q if it is suicide in group a encouragement the other,pos
"10 de setembro. dia mundial de combate ao suicídio.
toda vida importa. você não está sozinho.
disque 188.

#setembroamarelo #vereadorwaldirbrazao #familiabrazao https://t.co/qv0ech78wl","September 10th.World Day to Combat Suicide.
Every life matters.you are not alone.
Dial 188.

#EvemberAmarelo #VereorWaldirbrazao #Famililabrazao https://t.co/qv0ech78wl",pos
só um suicídio em dupla agr pprt,Just a suicide in dupla agr pprt,neg
á um passo do suicídio sim,There is a step of suicide yes,neg
"dia de prevenção ao suicídio e de lembrar que: cuidem das pessoas ao seu redor antes que elas desistam de si mesmas, porque uma vez decidido, dificilmente a pessoa muda de ideia","day of suicide prevention and to remember that: take care of the people around them before they give up on themselves, because once decided, the person changes his mind",neg
"rt @portallovato: há 1 ano, demi lovato e marshmello lançavam ""ok not to be ok"", na campanha do ""dia mundial da prevenção do suicídio"" e em…","RT @portallovato: 1 year ago, Demi Lovato and Marshmello launched ""ok not to be ok"" in the campaign of the ""World Suicide Prevention Day"" and in ...",neg
"rt @kaeyasluv: eu tô cansado sabe, de verdade, todo dia mogai sendo incitado a suicídio, todo dia anti-mogai falando merda pra gente e você…","RT @kaeyasluv: I'm tired knows, really, every day Mogai being incited suicide, every day anti-Mogai talking shit for people and you ...",neg
rt @doeumlivro: adolescente transforma dor em arte e escreve livro de fantasia sobre ansiedade e prevenção ao suicídio | santos e região |…,RT @doumlivro: Teen transforms pain in art and writes fantasy book on anxiety and suicide prevention |Santos and Region | ...,pos
friendly reminder que estamos no mês da visibilidade bi e também no mês da prevenção do suicídio e nunca é de mais aprender sobre estes assuntos https://t.co/zlqzu3hmlw,Friendly reminder that we are in the month of bi visibility and also in the month of suicide prevention and is never more learning about these subjects https://t.co/zlqzu3hmlw,pos
"@carlops1ta eu sempre achei que seria suicídio, só que nova. hoje em dia, suicídio assistido quando eu ficar velha e não quiser mais viver","@ Carlops1Ta I always thought it would be suicide, only new.nowadays, suicide watched when I get old and no longer want to live",pos
"rt @loucosbotafogo: setembro amarelo - mês de prevenção ao suicídio

segundo a oms mais de 700 mil pessoas morrem por suicídio a cada ano n…","RT @LoucosBotafogo: Yellow September - month of suicide prevention

According to WHO more than 700 thousand people die by suicide every year n ...",pos
vou dormir na casa da fefe suicidio adiado,I'm going to sleep in the house of fefe suicide postponed,pos
"rt @ruthmartinsbh: hoje (10/09) é o dia mundial de prevenção ao suicídio. busque informações, procure ajuda, fale abertamente sobre as emoç…","RT @rruthmartinsbh: Today (10/09) is the World Day of Suicide Prevention.Look for information, look for help, talk openly about emoç ...",pos
"hoje é o dia mundial da prevenção ao suicídio, que irônico k","Today is the World Day of Prevention for Suicide, which Ironic K",pos
até em post de suicídio essas judolffos querem meter shippe quem aguenta essas insuportáveis cansam demais puta merda,even in post of suicide these judolffos want to put shippe who can handle these unbearable tire too much fucking shit,neg
@jejeroland jeane essa música é pura depressão choro tristeza suicídio você está bem,@jejeroland jeane this song is pure depression cry sadness suicide you are well,pos
"rt @drauziovarella: não hesite em buscar ajuda! se você precisa de ajuda ou quer conversar, entre em contato com cvv pelo número 188 ou pel…","RT @drauziovarella: Do not hesitate to get help!If you need help or want to talk, contact CVV by number 188 or Pel ...",pos
sextou com s de suicídio,Sextound with suicide,pos
"rt @demilovatobr: há exatamente 1 ano, marshmello e demi lovato lançavam a subestimada ""ok not to be ok"", no dia mundial de prevenção ao su…","RT @Demilovatobr: There are exactly 1 year, Marshmello and Demi Lovato launched the underestimated ""Ok not to be ok"", on World Prevention Day to Su ...",pos
rt @aju_julianna: no dia mundial de prevenção ao suicídio quem está precisando receber intervenção sou eu.,RT @aju_julianna: On World Day of Prevention to Suicide Who needs to receive intervention is me.,pos
"o dia 10 de setembro é conhecido como o dia mundial de prevenção ao suicídio e é um dia extremamente importante. as taxas de suicídio são muito altas, todos os anos o suicídio aparece entre as 20 principais causas de morte no mundo e esse número é alarmante. + https://t.co/psxhtvwzrd","September 10 is known as World Suicide Prevention Day and is an extremely important day.Suicide rates are very high, every year suicide appears between the top 20 causes of death in the world and that number is alarming.+ https://t.co/psxtvwzrd",pos
rt @aju_julianna: o comportamento suicida deve ser entendido como fenômeno social cujas causas ultrapassam a dimensão individual e alcançam…,RT @aju_julianna: Suicidal behavior should be understood as a social phenomenon whose causes surpass the individual dimension and achieve ...,pos
